name,state,region,adm_rate,num_undergrads,median_debt,median_debt_grads,median_earnings,bachelors_degree
Stevens Institute of Technology,NJ,2,0.5306,3787,25000,27000,98159,1
Stevenson University,MD,2,0.8918,3008,24000,27000,56567,1
Stony Brook University,NY,2,0.4891,17962,15000,18750,66678,1
Sweet Briar College,VA,5,0.7595,356,14000,27000,48425,1
Temple University,PA,2,0.7142,26969,20000,24499,56800,1
Tennessee Technological University,TN,5,0.7963,8564,11000,16144,43326,1
Texas A & M University-Kingsville,TX,6,0.8792,5114,15131,23250,47368,1
Texas County Technical College,MO,4,0.625,52,12000,13875,29463,0
Texas Tech University,TX,6,0.7003,32412,15750,22000,58435,1
Texas Wesleyan University,TX,6,0.4679,1403,14000,23495,49382,1
The College of Wooster,OH,3,0.653,1924,21500,26000,51866,1
The Evergreen State College,WA,8,0.9838,2053,14500,19089,40782,1
The New England Conservatory of Music,MA,1,0.3627,386,19500,25250,38489,1
The New School,NY,2,0.691,6339,15000,23250,53981,1
The Southern Baptist Theological Seminary,KY,5,0.7726,794,NA,NA,NA,1
The University of Alabama,AL,5,0.8039,30610,17671,23072,52751,1
The University of Texas at Arlington,TX,6,0.8775,34726,12477,18166,54633,1
The University of Texas at El Paso,TX,6,0.9997,21070,12500,18460,44770,1
Tougaloo College,MS,5,0.712,654,21000,32100,33291,1
Trine University,IN,3,0.7894,2254,16822,23945,52957,1
Trinity Health System School of Nursing,OH,3,1,49,13625,14625,55435,0
Tusculum University,TN,5,0.6715,1194,16000,24141,40083,1
Union College,KY,5,0.5733,927,15000,25291,38076,1
Union College,NE,4,0.976,602,19000,27000,45198,1
Union College,NY,2,0.4126,2035,21500,25831,71055,1
Universidad Central Del Caribe,PR,9,0.8571,123,7500,7500,28509,1
Universidad del Sagrado Corazon,PR,9,0.4331,4067,12650,16750,26108,1
University of Alaska Fairbanks,AK,8,0.6701,4259,11000,19582,43728,1
University of Alaska Southeast,AK,8,0.6352,1063,10223,20000,40727,1
University of Baltimore,MD,2,0.7993,1856,18750,22956,58128,1
University of Connecticut-Hartford Campus,CT,1,0.9616,1659,19292,21500,72460,1
University of Evansville,IN,3,0.643,1763,19500,25183,50415,1
University of Florida,FL,5,0.3113,34237,14986,15580,64463,1
University of Hartford,CT,1,0.7741,4378,19500,27000,58087,1
University of Hawaii-West Oahu,HI,8,0.9523,2755,11500,15453,48268,1
University of Lynchburg,VA,5,0.9727,1801,21855,27000,49490,1
University of Maine at Farmington,ME,1,0.9461,1509,16756,24499,35051,1
University of Mary,ND,4,0.7168,2178,18500,23250,55720,1
University of Massachusetts-Amherst,MA,1,0.6532,23884,20500,23149,62048,1
University of Minnesota-Duluth,MN,4,0.7855,8351,16034,22514,54750,1
University of Missouri-Kansas City,MO,4,0.6301,7077,14750,18751,52279,1
University of Nebraska-Lincoln,NE,4,0.7774,20128,15000,21362,52360,1
University of New Haven,CT,1,0.911,5078,19500,27000,52610,1
University of North Carolina at Chapel Hill,NC,5,0.25,19261,13000,14500,61915,1
University of North Florida,FL,5,0.7992,14308,12000,16331,49338,1
University of Oklahoma-Norman Campus,OK,6,0.8338,21087,15250,20718,57071,1
University of Wisconsin-River Falls,WI,3,0.7685,5238,14500,20500,47441,1
University of Wisconsin-Stevens Point,WI,3,0.8654,7258,15487,22140,45855,1
Upper Iowa University,IA,4,0.653,2934,16833,24972,49292,1
Utah State University,UT,7,0.9104,21087,9240,14429,50432,1
Warrensburg Area Career Center,MO,4,0.8571,19,8591,NA,41787,0
Webster University,MO,4,0.5312,2535,17900,22500,47663,1
West Coast University-Ontario,CA,8,NA,2408,22846,33319,97371,1
Western Kentucky University,KY,5,0.9775,13086,15000,22500,39268,1
Western Michigan University,MI,3,0.8494,15706,20000,26000,49652,1
Westmont College,CA,8,0.7016,1226,19500,23250,60057,1
Widener University,PA,2,0.7458,2866,24219,27000,62030,1
William Jessup University,CA,8,0.6521,1279,16167,22334,51693,1
Xavier University,OH,3,0.8122,5250,19500,24536,62015,1
Yeshiva D'monsey Rabbinical College,NY,2,0.4906,71,NA,NA,NA,1
Yeshivas Be'er Yitzchok,NJ,2,1,55,NA,NA,NA,1
Yeshivath Beth Moshe,PA,2,0.8333,39,NA,NA,NA,1
